epoch,loss,val_loss
0,0.8945485949516296,0.9575586915016174
1,0.5932572484016418,0.7647803425788879
2,0.5026823282241821,0.7075759768486023
3,0.4680287539958954,0.665627658367157
4,0.44716402888298035,0.6262312531471252
5,0.43211060762405396,0.6127129197120667
6,0.4205813407897949,0.5949558615684509
7,0.4105275571346283,0.5725100636482239
8,0.4017471969127655,0.5530239939689636
9,0.39368581771850586,0.5451551079750061
10,0.3865971565246582,0.5206778645515442
11,0.38007184863090515,0.5249677300453186
12,0.3740861713886261,0.5180867314338684
13,0.3685150444507599,0.4933345913887024
14,0.3637840747833252,0.48600199818611145
15,0.3594050705432892,0.4831751883029938
16,0.35527917742729187,0.4858660101890564
17,0.351345032453537,0.46969547867774963
18,0.34760782122612,0.45122745633125305
19,0.3437861204147339,0.4409261643886566
20,0.34129881858825684,0.4522799253463745
21,0.33857089281082153,0.45985928177833557
22,0.3361474871635437,0.4460851550102234
23,0.33259353041648865,0.4281998574733734
24,0.3297947645187378,0.43592342734336853
25,0.3273770213127136,0.42970940470695496
26,0.32469603419303894,0.4233638346195221
27,0.32195281982421875,0.4171503782272339
28,0.32645854353904724,0.42832088470458984
29,0.3182392716407776,0.4033220410346985
30,0.3143627643585205,0.4067031741142273
31,0.3122507631778717,0.4027135670185089
32,0.3097783625125885,0.3933372497558594
33,0.3074086308479309,0.38970255851745605
34,0.30637919902801514,0.39650875329971313
35,0.30328255891799927,0.40028679370880127
36,0.3010686933994293,0.3888168931007385
37,0.299205482006073,0.40868163108825684
38,0.2965865731239319,0.37959495186805725
39,0.2954751253128052,0.3700575828552246
40,0.29330766201019287,0.36431026458740234
41,0.29080256819725037,0.367747962474823
42,0.28910455107688904,0.3780646324157715
43,0.2875596284866333,0.3602845072746277
44,0.28579720854759216,0.36248669028282166
45,0.2842574119567871,0.3530912399291992
46,0.2827135920524597,0.3516389727592468
47,0.281997948884964,0.3440805673599243
48,0.2796250283718109,0.3468496799468994
49,0.27755776047706604,0.34184354543685913
50,0.2770364284515381,0.33983948826789856
51,0.27693530917167664,0.35460883378982544
52,0.27548614144325256,0.33470118045806885
53,0.27370864152908325,0.33517134189605713
54,0.2709592580795288,0.34000924229621887
55,0.2696959376335144,0.34576156735420227
56,0.26843369007110596,0.33228811621665955
57,0.2671658992767334,0.32887864112854004
58,0.26633420586586,0.3342045247554779
59,0.2651909589767456,0.3206055164337158
60,0.26321110129356384,0.3195738196372986
61,0.26360076665878296,0.3164982497692108
62,0.26200082898139954,0.3158290684223175
63,0.2610841989517212,0.3189595639705658
64,0.25887957215309143,0.329876184463501
65,0.25824931263923645,0.3141757845878601
66,0.2577369213104248,0.3140805959701538
67,0.2568416893482208,0.3096154034137726
68,0.2552555799484253,0.31014227867126465
69,0.25345584750175476,0.32106712460517883
70,0.25275322794914246,0.2980087697505951
71,0.25169631838798523,0.30048859119415283
72,0.2504114508628845,0.3041802644729614
73,0.24982726573944092,0.30486732721328735
74,0.2492286115884781,0.30584126710891724
75,0.24755555391311646,0.2925441265106201
76,0.24733123183250427,0.29360082745552063
77,0.24581506848335266,0.3000282347202301
78,0.2439582645893097,0.31894809007644653
79,0.24342752993106842,0.29669198393821716
80,0.24197739362716675,0.29647764563560486
81,0.2362097203731537,0.2753185033798218
82,0.23553192615509033,0.2724030017852783
83,0.2355472892522812,0.28461527824401855
84,0.23524466156959534,0.28120264410972595
85,0.23385164141654968,0.2739708423614502
86,0.23379895091056824,0.27323392033576965
87,0.23291899263858795,0.2755364775657654
88,0.22946731746196747,0.2681797444820404
89,0.22897957265377045,0.2696327269077301
90,0.22874337434768677,0.26949772238731384
91,0.2284013330936432,0.2705492079257965
92,0.22809019684791565,0.27368974685668945
93,0.22789618372917175,0.2698764503002167
94,0.22603662312030792,0.2649231553077698
95,0.2257356494665146,0.2640548646450043
96,0.22557048499584198,0.2659285068511963
97,0.22538070380687714,0.26551029086112976
98,0.2251383513212204,0.2626826763153076
99,0.22497785091400146,0.2628437280654907
100,0.22482594847679138,0.2633126676082611
101,0.22490528225898743,0.26291292905807495
102,0.22457915544509888,0.26330146193504333
103,0.22430765628814697,0.2616879940032959
104,0.22417625784873962,0.26296037435531616
105,0.22404824197292328,0.26306650042533875
106,0.22378729283809662,0.2659687101840973
107,0.22355832159519196,0.2613874673843384
108,0.2234775722026825,0.2622406482696533
109,0.2232750952243805,0.26128312945365906
110,0.22317589819431305,0.26162707805633545
111,0.22310595214366913,0.261162668466568
112,0.22297954559326172,0.260679692029953
113,0.2227296382188797,0.2613426148891449
114,0.22260230779647827,0.2610452175140381
115,0.22251483798027039,0.2600349485874176
116,0.2223411351442337,0.26247039437294006
117,0.22222988307476044,0.25943219661712646
118,0.22202955186367035,0.26018327474594116
119,0.22183002531528473,0.25972798466682434
120,0.22174151241779327,0.2605867087841034
121,0.22164104878902435,0.258776992559433
122,0.22150398790836334,0.2590831220149994
